run_id,trained_at,instance,algo,job,machine,op_index,start,end,duration
1,2026-05-19 01:29:22,ft06,spt,0,2,0,0,1,1
1,2026-05-19 01:29:22,ft06,spt,0,0,1,1,4,3
1,2026-05-19 01:29:22,ft06,spt,5,1,0,0,3,3
1,2026-05-19 01:29:22,ft06,spt,5,3,1,3,6,3
1,2026-05-19 01:29:22,ft06,spt,2,2,0,1,6,5
1,2026-05-19 01:29:22,ft06,spt,2,3,1,6,10,4
1,2026-05-19 01:29:22,ft06,spt,3,1,0,3,8,5
1,2026-05-19 01:29:22,ft06,spt,3,0,1,8,13,5
1,2026-05-19 01:29:22,ft06,spt,3,2,2,13,18,5
1,2026-05-19 01:29:22,ft06,spt,3,3,3,18,21,3
1,2026-05-19 01:29:22,ft06,spt,0,1,2,8,14,6
1,2026-05-19 01:29:22,ft06,spt,0,3,3,21,28,7
1,2026-05-19 01:29:22,ft06,spt,0,5,4,28,31,3
1,2026-05-19 01:29:22,ft06,spt,0,4,5,31,37,6
1,2026-05-19 01:29:22,ft06,spt,1,1,0,14,22,8
1,2026-05-19 01:29:22,ft06,spt,1,2,1,22,27,5
1,2026-05-19 01:29:22,ft06,spt,2,5,2,31,39,8
1,2026-05-19 01:29:22,ft06,spt,3,4,4,37,45,8
1,2026-05-19 01:29:22,ft06,spt,2,0,3,39,48,9
1,2026-05-19 01:29:22,ft06,spt,2,1,4,48,49,1
1,2026-05-19 01:29:22,ft06,spt,2,4,5,49,56,7
1,2026-05-19 01:29:22,ft06,spt,3,5,5,45,54,9
1,2026-05-19 01:29:22,ft06,spt,4,2,0,27,36,9
1,2026-05-19 01:29:22,ft06,spt,4,1,1,49,52,3
1,2026-05-19 01:29:22,ft06,spt,4,4,2,56,61,5
1,2026-05-19 01:29:22,ft06,spt,4,5,3,61,65,4
1,2026-05-19 01:29:22,ft06,spt,4,0,4,65,68,3
1,2026-05-19 01:29:22,ft06,spt,4,3,5,68,69,1
1,2026-05-19 01:29:22,ft06,spt,5,5,2,65,74,9
1,2026-05-19 01:29:22,ft06,spt,1,4,2,61,71,10
1,2026-05-19 01:29:22,ft06,spt,1,5,3,74,84,10
1,2026-05-19 01:29:22,ft06,spt,1,0,4,84,94,10
1,2026-05-19 01:29:22,ft06,spt,1,3,5,94,98,4
1,2026-05-19 01:29:22,ft06,spt,5,0,3,94,104,10
1,2026-05-19 01:29:22,ft06,spt,5,4,4,104,108,4
1,2026-05-19 01:29:22,ft06,spt,5,2,5,108,109,1
2,2026-05-19 01:31:22,ft06,spt,0,2,0,0,1,1
2,2026-05-19 01:31:22,ft06,spt,0,0,1,1,4,3
2,2026-05-19 01:31:22,ft06,spt,5,1,0,0,3,3
2,2026-05-19 01:31:22,ft06,spt,5,3,1,3,6,3
2,2026-05-19 01:31:22,ft06,spt,2,2,0,1,6,5
2,2026-05-19 01:31:22,ft06,spt,2,3,1,6,10,4
2,2026-05-19 01:31:22,ft06,spt,3,1,0,3,8,5
2,2026-05-19 01:31:22,ft06,spt,3,0,1,8,13,5
2,2026-05-19 01:31:22,ft06,spt,3,2,2,13,18,5
2,2026-05-19 01:31:22,ft06,spt,3,3,3,18,21,3
2,2026-05-19 01:31:22,ft06,spt,0,1,2,8,14,6
2,2026-05-19 01:31:22,ft06,spt,0,3,3,21,28,7
2,2026-05-19 01:31:22,ft06,spt,0,5,4,28,31,3
2,2026-05-19 01:31:22,ft06,spt,0,4,5,31,37,6
2,2026-05-19 01:31:22,ft06,spt,1,1,0,14,22,8
2,2026-05-19 01:31:22,ft06,spt,1,2,1,22,27,5
2,2026-05-19 01:31:22,ft06,spt,2,5,2,31,39,8
2,2026-05-19 01:31:22,ft06,spt,3,4,4,37,45,8
2,2026-05-19 01:31:22,ft06,spt,2,0,3,39,48,9
2,2026-05-19 01:31:22,ft06,spt,2,1,4,48,49,1
2,2026-05-19 01:31:22,ft06,spt,2,4,5,49,56,7
2,2026-05-19 01:31:22,ft06,spt,3,5,5,45,54,9
2,2026-05-19 01:31:22,ft06,spt,4,2,0,27,36,9
2,2026-05-19 01:31:22,ft06,spt,4,1,1,49,52,3
2,2026-05-19 01:31:22,ft06,spt,4,4,2,56,61,5
2,2026-05-19 01:31:22,ft06,spt,4,5,3,61,65,4
2,2026-05-19 01:31:22,ft06,spt,4,0,4,65,68,3
2,2026-05-19 01:31:22,ft06,spt,4,3,5,68,69,1
2,2026-05-19 01:31:22,ft06,spt,5,5,2,65,74,9
2,2026-05-19 01:31:22,ft06,spt,1,4,2,61,71,10
2,2026-05-19 01:31:22,ft06,spt,1,5,3,74,84,10
2,2026-05-19 01:31:22,ft06,spt,1,0,4,84,94,10
2,2026-05-19 01:31:22,ft06,spt,1,3,5,94,98,4
2,2026-05-19 01:31:22,ft06,spt,5,0,3,94,104,10
2,2026-05-19 01:31:22,ft06,spt,5,4,4,104,108,4
2,2026-05-19 01:31:22,ft06,spt,5,2,5,108,109,1
3,2026-05-19 01:41:54,ft06,spt,0,2,0,0,1,1
3,2026-05-19 01:41:54,ft06,spt,0,0,1,1,4,3
3,2026-05-19 01:41:54,ft06,spt,5,1,0,0,3,3
3,2026-05-19 01:41:54,ft06,spt,5,3,1,3,6,3
3,2026-05-19 01:41:54,ft06,spt,2,2,0,1,6,5
3,2026-05-19 01:41:54,ft06,spt,2,3,1,6,10,4
3,2026-05-19 01:41:54,ft06,spt,3,1,0,3,8,5
3,2026-05-19 01:41:54,ft06,spt,3,0,1,8,13,5
3,2026-05-19 01:41:54,ft06,spt,3,2,2,13,18,5
3,2026-05-19 01:41:54,ft06,spt,3,3,3,18,21,3
3,2026-05-19 01:41:54,ft06,spt,0,1,2,8,14,6
3,2026-05-19 01:41:54,ft06,spt,0,3,3,21,28,7
3,2026-05-19 01:41:54,ft06,spt,0,5,4,28,31,3
3,2026-05-19 01:41:54,ft06,spt,0,4,5,31,37,6
3,2026-05-19 01:41:54,ft06,spt,1,1,0,14,22,8
3,2026-05-19 01:41:54,ft06,spt,1,2,1,22,27,5
3,2026-05-19 01:41:54,ft06,spt,2,5,2,31,39,8
3,2026-05-19 01:41:54,ft06,spt,3,4,4,37,45,8
3,2026-05-19 01:41:54,ft06,spt,2,0,3,39,48,9
3,2026-05-19 01:41:54,ft06,spt,2,1,4,48,49,1
3,2026-05-19 01:41:54,ft06,spt,2,4,5,49,56,7
3,2026-05-19 01:41:54,ft06,spt,3,5,5,45,54,9
3,2026-05-19 01:41:54,ft06,spt,4,2,0,27,36,9
3,2026-05-19 01:41:54,ft06,spt,4,1,1,49,52,3
3,2026-05-19 01:41:54,ft06,spt,4,4,2,56,61,5
3,2026-05-19 01:41:54,ft06,spt,4,5,3,61,65,4
3,2026-05-19 01:41:54,ft06,spt,4,0,4,65,68,3
3,2026-05-19 01:41:54,ft06,spt,4,3,5,68,69,1
3,2026-05-19 01:41:54,ft06,spt,5,5,2,65,74,9
3,2026-05-19 01:41:54,ft06,spt,1,4,2,61,71,10
3,2026-05-19 01:41:54,ft06,spt,1,5,3,74,84,10
3,2026-05-19 01:41:54,ft06,spt,1,0,4,84,94,10
3,2026-05-19 01:41:54,ft06,spt,1,3,5,94,98,4
3,2026-05-19 01:41:54,ft06,spt,5,0,3,94,104,10
3,2026-05-19 01:41:54,ft06,spt,5,4,4,104,108,4
3,2026-05-19 01:41:54,ft06,spt,5,2,5,108,109,1
1,2026-05-19 01:50:54,ft06,spt,0,2,0,0,1,1
1,2026-05-19 01:50:54,ft06,spt,0,0,1,1,4,3
1,2026-05-19 01:50:54,ft06,spt,5,1,0,0,3,3
1,2026-05-19 01:50:54,ft06,spt,5,3,1,3,6,3
1,2026-05-19 01:50:54,ft06,spt,2,2,0,1,6,5
1,2026-05-19 01:50:54,ft06,spt,2,3,1,6,10,4
1,2026-05-19 01:50:54,ft06,spt,3,1,0,3,8,5
1,2026-05-19 01:50:54,ft06,spt,3,0,1,8,13,5
1,2026-05-19 01:50:54,ft06,spt,3,2,2,13,18,5
1,2026-05-19 01:50:54,ft06,spt,3,3,3,18,21,3
1,2026-05-19 01:50:54,ft06,spt,0,1,2,8,14,6
1,2026-05-19 01:50:54,ft06,spt,0,3,3,21,28,7
1,2026-05-19 01:50:54,ft06,spt,0,5,4,28,31,3
1,2026-05-19 01:50:54,ft06,spt,0,4,5,31,37,6
